epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,15822,1.02846,2.11483,0.60426,1.08776,0.9602,0.95108,0.97987,0.73066,0.92696,0.90677,0.94259,0.53522,0.94027,1.93305,0.52008,1.06793,0.000220023,0.000220023,0.000220023
62,16064.9,1.02722,2.111,0.60353,1.08735,0.95879,0.95134,0.97982,0.73015,0.92247,0.90451,0.94137,0.53687,0.93878,1.92736,0.52125,1.06608,0.000210828,0.000210828,0.000210828
63,16308.1,1.02533,2.11128,0.59989,1.08349,0.95873,0.95197,0.97967,0.73061,0.92225,0.9038,0.9399,0.53568,0.93751,1.92824,0.51961,1.06676,0.000201736,0.000201736,0.000201736
64,16550,1.02204,2.10738,0.59963,1.08242,0.95988,0.95072,0.97919,0.73057,0.92311,0.90438,0.94105,0.5363,0.93851,1.93225,0.51897,1.06601,0.000192757,0.000192757,0.000192757
65,16793.5,1.0151,2.09395,0.59392,1.078,0.95735,0.95246,0.97952,0.73061,0.92058,0.90197,0.93951,0.53422,0.93759,1.93312,0.52119,1.06535,0.0001839,0.0001839,0.0001839
66,17035,1.01833,2.10073,0.59419,1.07881,0.9596,0.95179,0.97997,0.73284,0.9235,0.90501,0.94216,0.53559,0.93673,1.92745,0.51446,1.06267,0.000175172,0.000175172,0.000175172
67,17278.2,1.01098,2.08581,0.59092,1.07931,0.96402,0.95211,0.98074,0.73329,0.9272,0.90753,0.94347,0.53612,0.93937,1.92505,0.51138,1.06478,0.000166582,0.000166582,0.000166582
68,17521.1,1.01079,2.08278,0.5901,1.07572,0.96153,0.95224,0.98084,0.73306,0.92698,0.90582,0.94259,0.53491,0.93951,1.92542,0.51398,1.06315,0.00015814,0.00015814,0.00015814
69,17764.1,1.01395,2.09185,0.58988,1.07693,0.96361,0.95485,0.98077,0.73437,0.92849,0.90812,0.94324,0.53686,0.93452,1.92232,0.51501,1.06167,0.000149854,0.000149854,0.000149854
70,18004.6,1.00653,2.06524,0.58052,1.07066,0.96357,0.95415,0.98097,0.73564,0.92794,0.90813,0.94333,0.53828,0.9335,1.91866,0.50893,1.06287,0.00014173,0.00014173,0.00014173
71,18247.5,1.01202,2.08655,0.58331,1.0758,0.96409,0.95657,0.98122,0.73513,0.92889,0.91019,0.94239,0.53875,0.93403,1.91662,0.50722,1.06146,0.000133779,0.000133779,0.000133779
